fragment_description,3rd Ventricle,4th Ventricle,Right Accumbens Area,Left Accumbens Area,Right Amygdala,Left Amygdala,Brain Stem,Right Caudate,Left Caudate,Right Cerebellum Exterior,Left Cerebellum Exterior,Right Cerebellum White Matter,Left Cerebellum White Matter,Right Cerebral White Matter,Left Cerebral White Matter,CSF,Right Hippocampus,Left Hippocampus,Right Inf Lat Vent,Left Inf Lat Vent,Right Lateral Ventricle,Left Lateral Ventricle,Right Pallidum,Left Pallidum,Right Putamen,Left Putamen,Right Thalamus Proper,Left Thalamus Proper,Right Ventral DC,Left Ventral DC,Cerebellar Vermal Lobules I-V,Cerebellar Vermal Lobules VI-VII,Cerebellar Vermal Lobules VIII-X,Left Basal Forebrain,Right Basal Forebrain,Right ACgG anterior cingulate gyrus,Left ACgG anterior cingulate gyrus,Right AIns anterior insula,Left AIns anterior insula,Right AOrG anterior orbital gyrus,Left AOrG anterior orbital gyrus,Right AnG angular gyrus,Left AnG angular gyrus,Right Calc calcarine cortex,Left Calc calcarine cortex,Right CO central operculum,Left CO central operculum,Right Cun cuneus,Left Cun cuneus,Right Ent entorhinal area,Left Ent entorhinal area,Right FO frontal operculum,Left FO frontal operculum,Right FRP frontal pole,Left FRP frontal pole,Right FuG fusiform gyrus,Left FuG fusiform gyrus,Right GRe gyrus rectus,Left GRe gyrus rectus,Right IOG inferior occipital gyrus,Left IOG inferior occipital gyrus,Right ITG inferior temporal gyrus,Left ITG inferior temporal gyrus,Right LiG lingual gyrus,Left LiG lingual gyrus,Right LOrG lateral orbital gyrus,Left LOrG lateral orbital gyrus,Right MCgG middle cingulate gyrus,Left MCgG middle cingulate gyrus,Right MFC medial frontal cortex,Left MFC medial frontal cortex,Right MFG middle frontal gyrus,Left MFG middle frontal gyrus,Right MOG middle occipital gyrus,Left MOG middle occipital gyrus,Right MOrG medial orbital gyrus,Left MOrG medial orbital gyrus,Right MPoG postcentral gyrus medial segment,Left MPoG postcentral gyrus medial segment,Right MPrG precentral gyrus medial segment,Left MPrG precentral gyrus medial segment,Right MSFG superior frontal gyrus medial segment,Left MSFG superior frontal gyrus medial segment,Right MTG middle temporal gyrus,Left MTG middle temporal gyrus,Right OCP occipital pole,Left OCP occipital pole,Right OFuG occipital fusiform gyrus,Left OFuG occipital fusiform gyrus,Right OpIFG opercular part of the inferior frontal gyrus,Left OpIFG opercular part of the inferior frontal gyrus,Right OrIFG orbital part of the inferior frontal gyrus,Left OrIFG orbital part of the inferior frontal gyrus,Right PCgG posterior cingulate gyrus,Left PCgG posterior cingulate gyrus,Right PCu precuneus,Left PCu precuneus,Right PHG parahippocampal gyrus,Left PHG parahippocampal gyrus,Right PIns posterior insula,Left PIns posterior insula,Right PO parietal operculum,Left PO parietal operculum,Right PoG postcentral gyrus,Left PoG postcentral gyrus,Right POrG posterior orbital gyrus,Left POrG posterior orbital gyrus,Right PP planum polare,Left PP planum polare,Right PrG precentral gyrus,Left PrG precentral gyrus,Right PT planum temporale,Left PT planum temporale,Right SCA subcallosal area,Left SCA subcallosal area,Right SFG superior frontal gyrus,Left SFG superior frontal gyrus,Right SMC supplementary motor cortex,Left SMC supplementary motor cortex,Right SMG supramarginal gyrus,Left SMG supramarginal gyrus,Right SOG superior occipital gyrus,Left SOG superior occipital gyrus,Right SPL superior parietal lobule,Left SPL superior parietal lobule,Right STG superior temporal gyrus,Left STG superior temporal gyrus,Right TMP temporal pole,Left TMP temporal pole,Right TrIFG triangular part of the inferior frontal gyrus,Left TrIFG triangular part of the inferior frontal gyrus,Right TTG transverse temporal gyrus,Left TTG transverse temporal gyrus,Total Cerebral Grey Matter,Right Cerebral Grey Matter,Left Cerebral Grey Matter,Total Cerebral White Matter
F-Volume-age:series:11,0.00061245,0.0011655,0.00028363,0.00031551,0.00053759,0.0005414,0.010444,0.0020607,0.0019824,0.032354,0.032185,0.0081312,0.0082852,0.13498,0.13337,0.00069761,0.0020477,0.0019345,0.00035138,0.00030761,0.0046083,0.0058327,0.00068047,0.0006874,0.0030935,0.0032026,0.004802,0.0049714,0.0026253,0.0027296,0.002942,0.0013916,0.0016548,0.00026962,0.00027243,0.0026706,0.0030966,0.0024685,0.002572,0.0012175,0.0010318,0.0075383,0.0069507,0.002043,0.0020239,0.0024393,0.002424,0.0030755,0.0029665,0.0010384,0.0010228,0.0012033,0.0012157,0.0025615,0.0023416,0.0048811,0.0047808,0.001439,0.0014693,0.004469,0.0043689,0.0080856,0.0078562,0.0050855,0.0047848,0.0015441,0.0016675,0.0031141,0.0031433,0.0011582,0.001166,0.014179,0.014164,0.0035824,0.0043643,0.0027726,0.0028939,0.00065297,0.00069231,0.0015994,0.0016374,0.0054629,0.0047368,0.010859,0.01079,0.0018806,0.0022159,0.0026622,0.0026958,0.0023011,0.0022639,0.00097127,0.00095993,0.0026039,0.0028386,0.0073786,0.0073338,0.0017759,0.0019266,0.0013917,0.0013909,0.0013387,0.0014372,0.0073273,0.0084522,0.0014557,0.001644,0.0012401,0.0013641,0.0089005,0.0090529,0.0011765,0.0012415,0.0007585,0.00078698,0.010767,0.010774,0.0035147,0.0035788,0.006059,0.0066522,0.0028371,0.0024523,0.0073973,0.0073722,0.0050952,0.0050662,0.0053239,0.005143,0.0024501,0.0027065,0.00089437,0.00095999,0.44323,0.18951,0.19172,0.26835
F-Volume-age:series:11.5,0.00061001,0.0011655,0.00028363,0.00031551,0.00053759,0.0005414,0.010442,0.0020607,0.0019824,0.032621,0.032441,0.0081305,0.0082849,0.13476,0.13282,0.0006961,0.0020477,0.0019345,0.00035138,0.00030761,0.004442,0.0054459,0.00068047,0.0006874,0.0030936,0.0032025,0.0048022,0.0049716,0.0026253,0.0027296,0.002942,0.0013916,0.0016548,0.00026962,0.00027243,0.0026715,0.0030967,0.0024685,0.002572,0.0012179,0.0010318,0.0075174,0.0069322,0.002043,0.0020239,0.0024398,0.002424,0.0030751,0.0029663,0.0010384,0.0010228,0.0012033,0.0012157,0.0025616,0.0023422,0.0048784,0.004778,0.0014395,0.0014698,0.0044665,0.0043658,0.0080688,0.0078422,0.0050842,0.0047835,0.0015445,0.0016679,0.0031143,0.0031441,0.0011582,0.001166,0.014123,0.014125,0.0035807,0.0043601,0.0027717,0.0028932,0.00065297,0.00069231,0.0015994,0.0016374,0.0054609,0.004736,0.010823,0.010742,0.0018806,0.0022159,0.0026624,0.0026959,0.0023011,0.0022639,0.00097127,0.00095993,0.0026045,0.0028394,0.007369,0.0073258,0.0017759,0.0019266,0.0013917,0.0013909,0.0013387,0.0014372,0.0073159,0.0084306,0.0014557,0.0016445,0.0012401,0.0013641,0.0088809,0.0090354,0.0011765,0.0012415,0.0007585,0.00078698,0.010742,0.010749,0.0035142,0.003578,0.0060443,0.0066363,0.0028366,0.0024517,0.0073827,0.0073634,0.0050902,0.0050614,0.0053195,0.0051394,0.0024495,0.0027056,0.00089437,0.00095999,0.44154,0.20433,0.20603,0.26771
F-Volume-age:series:12,0.00060759,0.0011655,0.00028363,0.00031551,0.00053759,0.0005414,0.010439,0.0020607,0.0019824,0.032878,0.032685,0.0081297,0.0082846,0.13435,0.1316,0.00069459,0.0020477,0.0019345,0.00035138,0.00030761,0.0042897,0.0051264,0.00068047,0.0006874,0.0030937,0.0032023,0.0048024,0.0049718,0.0026253,0.0027296,0.002942,0.0013916,0.0016548,0.00026962,0.00027243,0.0026723,0.0030967,0.0024685,0.002572,0.0012183,0.0010318,0.0074963,0.0069134,0.002043,0.0020239,0.0024403,0.002424,0.0030746,0.002966,0.0010384,0.0010228,0.0012033,0.0012157,0.0025617,0.0023426,0.0048756,0.0047753,0.00144,0.0014703,0.0044639,0.0043627,0.0080516,0.0078279,0.0050828,0.0047823,0.0015448,0.0016681,0.0031145,0.0031447,0.0011582,0.001166,0.014067,0.014085,0.003579,0.0043558,0.0027707,0.0028925,0.00065297,0.00069231,0.0015994,0.0016374,0.0054583,0.0047348,0.010784,0.010692,0.0018806,0.0022159,0.0026625,0.002696,0.002301,0.0022639,0.00097127,0.00095993,0.002605,0.0028401,0.0073589,0.0073174,0.0017759,0.0019266,0.0013917,0.0013909,0.0013387,0.0014372,0.0073041,0.0084085,0.0014557,0.001645,0.0012401,0.0013641,0.0088609,0.0090174,0.0011765,0.0012415,0.0007585,0.00078698,0.010715,0.010722,0.0035136,0.0035771,0.0060292,0.0066202,0.0028361,0.0024511,0.0073676,0.0073542,0.0050853,0.0050566,0.0053151,0.0051358,0.0024489,0.0027045,0.00089437,0.00095999,0.43969,0.2181,0.21913,0.2658
F-Volume-age:series:12.5,0.00060517,0.0011655,0.00028363,0.00031551,0.00053759,0.0005414,0.010437,0.0020607,0.0019824,0.033117,0.032914,0.0081288,0.0082843,0.13482,0.13215,0.00069308,0.0020477,0.0019345,0.00035138,0.00030761,0.0041559,0.0048961,0.00068047,0.0006874,0.0030938,0.003202,0.0048025,0.0049719,0.0026253,0.0027296,0.002942,0.0013916,0.0016548,0.00026962,0.00027243,0.002673,0.0030966,0.0024685,0.002572,0.0012187,0.0010318,0.0074749,0.0068942,0.002043,0.0020239,0.0024407,0.002424,0.0030741,0.0029657,0.0010384,0.0010228,0.0012033,0.0012157,0.0025617,0.002343,0.0048728,0.0047724,0.0014405,0.0014707,0.0044613,0.0043594,0.0080341,0.0078132,0.0050814,0.0047809,0.0015451,0.0016683,0.0031146,0.0031452,0.0011582,0.001166,0.01401,0.014044,0.0035771,0.0043515,0.0027696,0.0028917,0.00065297,0.00069231,0.0015994,0.0016374,0.0054552,0.0047332,0.010741,0.010639,0.0018806,0.0022159,0.0026626,0.002696,0.0023009,0.0022637,0.00097127,0.00095993,0.0026055,0.0028407,0.0073481,0.0073085,0.0017759,0.0019266,0.0013917,0.0013909,0.0013387,0.0014372,0.0072918,0.008386,0.0014557,0.0016454,0.0012401,0.0013641,0.0088405,0.0089991,0.0011765,0.0012415,0.0007585,0.00078698,0.010689,0.010696,0.0035129,0.0035761,0.0060137,0.0066038,0.0028355,0.0024504,0.0073521,0.0073446,0.0050803,0.0050517,0.0053107,0.0051322,0.0024482,0.0027034,0.00089437,0.00095999,0.43769,0.2174,0.21864,0.26692
F-Volume-age:series:13,0.00060277,0.0011655,0.00028363,0.00031551,0.00053759,0.0005414,0.010435,0.0020607,0.0019824,0.033332,0.033121,0.008128,0.008284,0.13518,0.1326,0.00069158,0.0020477,0.0019345,0.00035138,0.00030761,0.0040446,0.0047568,0.00068047,0.0006874,0.0030938,0.0032017,0.0048026,0.004972,0.0026253,0.0027296,0.002942,0.0013916,0.0016548,0.00026962,0.00027243,0.0026737,0.0030964,0.0024685,0.002572,0.0012191,0.0010318,0.0074533,0.0068747,0.002043,0.0020239,0.0024411,0.002424,0.0030735,0.0029653,0.0010384,0.0010228,0.0012033,0.0012157,0.0025616,0.0023433,0.0048699,0.0047695,0.0014409,0.0014711,0.0044586,0.0043562,0.0080163,0.0077982,0.0050798,0.0047795,0.0015453,0.0016685,0.0031145,0.0031457,0.0011582,0.001166,0.013954,0.014003,0.0035752,0.0043472,0.0027684,0.0028907,0.00065297,0.00069231,0.0015994,0.0016374,0.0054515,0.0047314,0.010695,0.010583,0.0018806,0.0022159,0.0026627,0.0026959,0.0023007,0.0022635,0.00097127,0.00095993,0.0026059,0.0028413,0.0073368,0.0072993,0.0017759,0.0019266,0.0013917,0.0013909,0.0013387,0.0014372,0.007279,0.008363,0.0014557,0.0016458,0.0012401,0.0013641,0.0088198,0.0089804,0.0011765,0.0012415,0.0007585,0.00078698,0.010661,0.010668,0.0035121,0.003575,0.0059979,0.0065872,0.0028348,0.0024497,0.0073361,0.0073346,0.0050753,0.0050468,0.0053062,0.0051285,0.0024475,0.0027021,0.00089437,0.00095999,0.43556,0.21597,0.2174,0.26775
F-Volume-age:series:13.5,0.00060038,0.0011655,0.00028363,0.00031551,0.00053759,0.0005414,0.010433,0.0020607,0.0019824,0.033514,0.033299,0.0081271,0.0082837,0.13533,0.13284,0.00069009,0.0020477,0.0019345,0.00035138,0.00030761,0.0039594,0.0046937,0.00068047,0.0006874,0.0030938,0.0032014,0.0048026,0.004972,0.0026253,0.0027296,0.002942,0.0013916,0.0016548,0.00026962,0.00027243,0.0026743,0.003096,0.0024685,0.002572,0.0012194,0.0010318,0.0074315,0.0068548,0.002043,0.0020239,0.0024414,0.002424,0.0030729,0.0029649,0.0010384,0.0010228,0.0012033,0.0012157,0.0025614,0.0023435,0.0048669,0.0047666,0.0014413,0.0014715,0.0044558,0.0043529,0.0079983,0.007783,0.0050782,0.004778,0.0015455,0.0016686,0.0031144,0.003146,0.0011582,0.001166,0.013896,0.013961,0.0035732,0.0043428,0.0027671,0.0028897,0.00065297,0.00069231,0.0015994,0.0016374,0.0054472,0.0047291,0.010647,0.010526,0.0018806,0.0022159,0.0026627,0.0026959,0.0023004,0.0022633,0.00097127,0.00095993,0.0026063,0.0028418,0.0073249,0.0072896,0.0017759,0.0019266,0.0013917,0.0013909,0.0013387,0.0014372,0.0072658,0.0083397,0.0014557,0.0016462,0.0012401,0.0013641,0.0087987,0.0089613,0.0011765,0.0012415,0.0007585,0.00078698,0.010633,0.01064,0.0035111,0.0035737,0.0059817,0.0065704,0.0028341,0.0024489,0.0073197,0.0073243,0.0050702,0.0050419,0.0053016,0.0051248,0.0024466,0.0027007,0.00089437,0.00095999,0.43331,0.21584,0.21742,0.26817
F-Volume-age:series:14,0.00059801,0.0011655,0.00028363,0.00031551,0.00053759,0.0005414,0.010431,0.0020607,0.0019824,0.033657,0.033442,0.0081262,0.0082836,0.13551,0.13315,0.0006886,0.0020477,0.0019345,0.00035138,0.00030761,0.0039031,0.0046842,0.00068047,0.0006874,0.0030937,0.003201,0.0048026,0.004972,0.0026253,0.0027296,0.002942,0.0013916,0.0016548,0.00026962,0.00027243,0.0026748,0.0030954,0.0024685,0.002572,0.0012197,0.0010318,0.0074096,0.0068347,0.002043,0.0020239,0.0024417,0.002424,0.0030723,0.0029645,0.0010384,0.0010228,0.0012033,0.0012157,0.0025611,0.0023437,0.0048639,0.0047636,0.0014416,0.0014718,0.004453,0.0043495,0.00798,0.0077674,0.0050765,0.0047765,0.0015456,0.0016686,0.0031142,0.0031463,0.0011582,0.001166,0.013839,0.013918,0.0035712,0.0043383,0.0027657,0.0028886,0.00065297,0.00069231,0.0015994,0.0016374,0.0054423,0.0047266,0.010595,0.010467,0.0018806,0.0022159,0.0026627,0.0026958,0.0023001,0.0022629,0.00097127,0.00095993,0.0026066,0.0028423,0.0073125,0.0072796,0.0017759,0.0019266,0.0013917,0.0013909,0.0013387,0.0014372,0.0072523,0.008316,0.0014557,0.0016465,0.0012401,0.0013641,0.0087773,0.0089419,0.0011765,0.0012415,0.0007585,0.00078698,0.010605,0.010612,0.00351,0.0035723,0.0059653,0.0065534,0.0028333,0.0024481,0.0073029,0.0073135,0.0050651,0.0050369,0.0052971,0.005121,0.0024457,0.0026993,0.00089437,0.00095999,0.43095,0.21484,0.21661,0.26867
F-Volume-age:series:14.5,0.00059565,0.0011655,0.00028363,0.00031551,0.00053759,0.0005414,0.010429,0.0020607,0.0019824,0.033752,0.033543,0.0081253,0.0082834,0.13568,0.1334,0.00068712,0.0020477,0.0019345,0.00035138,0.00030761,0.0038775,0.0047082,0.00068047,0.0006874,0.0030936,0.0032005,0.0048025,0.0049719,0.0026253,0.0027296,0.002942,0.0013916,0.0016548,0.00026962,0.00027243,0.0026752,0.0030948,0.0024685,0.002572,0.00122,0.0010318,0.0073874,0.0068143,0.002043,0.0020239,0.0024419,0.002424,0.0030716,0.002964,0.0010384,0.0010228,0.0012033,0.0012157,0.0025607,0.0023438,0.0048608,0.0047605,0.0014419,0.0014721,0.0044502,0.0043461,0.0079614,0.0077516,0.0050747,0.0047749,0.0015457,0.0016686,0.0031138,0.0031464,0.0011582,0.001166,0.013781,0.013874,0.0035691,0.0043338,0.0027643,0.0028874,0.00065297,0.00069231,0.0015994,0.0016374,0.0054369,0.0047236,0.010542,0.010407,0.0018806,0.0022159,0.0026627,0.0026956,0.0022997,0.0022625,0.00097127,0.00095993,0.0026069,0.0028427,0.0072996,0.0072692,0.0017759,0.0019266,0.0013917,0.0013909,0.0013387,0.0014372,0.0072383,0.008292,0.0014557,0.0016467,0.0012401,0.0013641,0.0087557,0.0089223,0.0011765,0.0012415,0.0007585,0.00078698,0.010576,0.010583,0.0035088,0.0035707,0.0059485,0.0065363,0.0028325,0.0024472,0.0072857,0.0073024,0.0050599,0.0050319,0.0052924,0.0051171,0.0024448,0.0026977,0.00089437,0.00095999,0.42851,0.21433,0.21616,0.26909
F-Volume-age:series:15,0.00059332,0.0011655,0.00028363,0.00031551,0.00053759,0.0005414,0.010428,0.0020607,0.0019824,0.033791,0.033595,0.0081244,0.0082833,0.13574,0.13347,0.00068566,0.0020477,0.0019345,0.00035138,0.00030761,0.0038832,0.0047541,0.00068047,0.0006874,0.0030934,0.0032,0.0048023,0.0049718,0.0026253,0.0027296,0.002942,0.0013916,0.0016548,0.00026962,0.00027243,0.0026755,0.003094,0.0024685,0.002572,0.0012202,0.0010318,0.0073652,0.0067938,0.002043,0.0020239,0.0024421,0.002424,0.0030708,0.0029634,0.0010384,0.0010228,0.0012033,0.0012157,0.0025602,0.0023438,0.0048577,0.0047574,0.0014422,0.0014724,0.0044473,0.0043426,0.0079426,0.0077355,0.0050729,0.0047733,0.0015457,0.0016685,0.0031134,0.0031465,0.0011582,0.001166,0.013723,0.01383,0.003567,0.0043293,0.0027628,0.0028861,0.00065297,0.00069231,0.0015994,0.0016374,0.0054309,0.0047204,0.010487,0.010346,0.0018806,0.0022159,0.0026626,0.0026954,0.0022992,0.002262,0.00097127,0.00095993,0.0026071,0.0028431,0.0072861,0.0072584,0.0017759,0.0019266,0.0013917,0.0013909,0.0013387,0.0014372,0.0072239,0.0082677,0.0014557,0.0016469,0.0012401,0.0013641,0.0087338,0.0089023,0.0011765,0.0012415,0.0007585,0.00078698,0.010547,0.010553,0.0035074,0.003569,0.0059315,0.006519,0.0028317,0.0024463,0.0072681,0.0072909,0.0050547,0.0050268,0.0052878,0.0051132,0.0024437,0.002696,0.00089437,0.00095999,0.426,0.21295,0.21479,0.26924
F-Volume-age:series:15.5,0.000591,0.0011655,0.00028363,0.00031551,0.00053759,0.0005414,0.010426,0.0020607,0.0019824,0.033769,0.033592,0.0081236,0.0082833,0.13574,0.13346,0.0006842,0.0020477,0.0019345,0.00035138,0.00030761,0.0039195,0.0048174,0.00068047,0.0006874,0.0030932,0.0031995,0.0048021,0.0049716,0.0026253,0.0027296,0.002942,0.0013916,0.0016548,0.00026962,0.00027243,0.0026757,0.003093,0.0024685,0.002572,0.0012204,0.0010318,0.0073428,0.006773,0.002043,0.0020239,0.0024422,0.002424,0.00307,0.0029628,0.0010384,0.0010228,0.0012033,0.0012157,0.0025596,0.0023437,0.0048545,0.0047542,0.0014425,0.0014726,0.0044443,0.0043391,0.0079237,0.0077192,0.0050709,0.0047716,0.0015457,0.0016684,0.0031128,0.0031464,0.0011582,0.001166,0.013665,0.013785,0.0035648,0.0043247,0.0027612,0.0028847,0.00065297,0.00069231,0.0015994,0.0016374,0.0054243,0.0047167,0.010429,0.010284,0.0018806,0.0022159,0.0026625,0.0026952,0.0022987,0.0022615,0.00097127,0.00095993,0.0026072,0.0028434,0.0072722,0.0072473,0.0017759,0.0019266,0.0013917,0.0013909,0.0013387,0.0014372,0.0072092,0.0082432,0.0014557,0.0016471,0.0012401,0.0013641,0.0087116,0.008882,0.0011765,0.0012415,0.0007585,0.00078698,0.010518,0.010523,0.003506,0.0035672,0.0059143,0.0065016,0.0028308,0.0024453,0.0072502,0.0072791,0.0050495,0.0050217,0.0052831,0.0051093,0.0024426,0.0026942,0.00089437,0.00095999,0.42344,0.21177,0.21358,0.26924
F-Volume-age:series:16,0.00058871,0.0011655,0.00028363,0.00031551,0.00053759,0.0005414,0.010425,0.0020607,0.0019824,0.033682,0.033528,0.0081228,0.0082834,0.13565,0.13339,0.00068275,0.0020477,0.0019345,0.00035138,0.00030761,0.0039843,0.0048946,0.00068047,0.0006874,0.0030929,0.0031988,0.0048019,0.0049714,0.0026253,0.0027296,0.002942,0.0013916,0.0016548,0.00026962,0.00027243,0.0026758,0.0030919,0.0024685,0.002572,0.0012206,0.0010318,0.0073203,0.006752,0.002043,0.0020239,0.0024422,0.002424,0.0030692,0.0029622,0.0010384,0.0010228,0.0012033,0.0012157,0.0025589,0.0023436,0.0048513,0.004751,0.0014427,0.0014728,0.0044413,0.0043355,0.0079046,0.0077028,0.0050689,0.0047698,0.0015456,0.0016682,0.0031121,0.0031463,0.0011582,0.001166,0.013607,0.01374,0.0035625,0.0043201,0.0027595,0.0028832,0.00065297,0.00069231,0.0015994,0.0016374,0.0054172,0.0047128,0.010371,0.010221,0.0018806,0.0022159,0.0026623,0.0026949,0.0022981,0.0022609,0.00097127,0.00095993,0.0026073,0.0028436,0.0072578,0.0072358,0.0017759,0.0019266,0.0013917,0.0013909,0.0013387,0.0014372,0.0071942,0.0082185,0.0014557,0.0016472,0.0012401,0.0013641,0.0086893,0.0088616,0.0011765,0.0012415,0.0007585,0.00078698,0.010488,0.010493,0.0035044,0.0035652,0.0058968,0.0064841,0.0028298,0.0024443,0.0072319,0.0072669,0.0050443,0.0050165,0.0052783,0.0051053,0.0024414,0.0026923,0.00089437,0.00095999,0.42085,0.21081,0.2126,0.26906
F-Volume-age:series:16.5,0.00058645,0.0011655,0.00028363,0.00031551,0.00053759,0.0005414,0.010424,0.0020607,0.0019824,0.033527,0.033402,0.008122,0.0082836,0.13557,0.1334,0.00068132,0.0020477,0.0019345,0.00035138,0.00030761,0.0040742,0.0049788,0.00068047,0.0006874,0.0030926,0.0031982,0.0048016,0.004971,0.0026253,0.0027296,0.002942,0.0013916,0.0016548,0.00026962,0.00027243,0.0026758,0.0030907,0.0024685,0.002572,0.0012207,0.0010318,0.0072978,0.0067309,0.002043,0.0020239,0.0024422,0.002424,0.0030683,0.0029615,0.0010384,0.0010228,0.0012033,0.0012157,0.0025581,0.0023433,0.004848,0.0047478,0.0014429,0.001473,0.0044382,0.0043319,0.0078854,0.0076861,0.0050668,0.004768,0.0015455,0.0016679,0.0031113,0.003146,0.0011582,0.001166,0.013549,0.013694,0.0035602,0.0043154,0.0027577,0.0028817,0.00065297,0.00069231,0.0015994,0.0016374,0.0054096,0.0047084,0.010311,0.010158,0.0018806,0.0022159,0.0026621,0.0026945,0.0022974,0.0022602,0.00097127,0.00095993,0.0026073,0.0028438,0.0072429,0.007224,0.0017759,0.0019266,0.0013917,0.0013909,0.0013387,0.0014372,0.0071789,0.0081936,0.0014557,0.0016472,0.0012401,0.0013641,0.0086668,0.0088409,0.0011765,0.0012415,0.0007585,0.00078698,0.010458,0.010462,0.0035026,0.0035631,0.0058791,0.0064665,0.0028288,0.0024433,0.0072134,0.0072544,0.005039,0.0050113,0.0052736,0.0051013,0.0024401,0.0026904,0.00089437,0.00095999,0.41824,0.20967,0.2115,0.269
F-Volume-age:series:17,0.00058421,0.0011655,0.00028363,0.00031551,0.00053759,0.0005414,0.010423,0.0020607,0.0019824,0.033309,0.033213,0.0081213,0.0082838,0.13545,0.13342,0.00067991,0.0020477,0.0019345,0.00035138,0.00030761,0.0041846,0.0050598,0.00068047,0.0006874,0.0030922,0.0031974,0.0048012,0.0049707,0.0026253,0.0027296,0.002942,0.0013916,0.0016548,0.00026962,0.00027243,0.0026758,0.0030893,0.0024685,0.002572,0.0012208,0.0010318,0.0072753,0.0067096,0.002043,0.0020239,0.0024421,0.002424,0.0030673,0.0029608,0.0010384,0.0010228,0.0012033,0.0012157,0.0025572,0.002343,0.0048447,0.0047445,0.001443,0.0014731,0.0044351,0.0043283,0.0078661,0.0076693,0.0050646,0.0047661,0.0015453,0.0016675,0.0031104,0.0031456,0.0011582,0.001166,0.013491,0.013648,0.0035578,0.0043107,0.0027558,0.00288,0.00065297,0.00069231,0.0015994,0.0016374,0.0054014,0.0047038,0.010251,0.010095,0.0018806,0.0022159,0.0026619,0.0026942,0.0022967,0.0022594,0.00097127,0.00095993,0.0026073,0.0028439,0.0072275,0.0072119,0.0017759,0.0019266,0.0013917,0.0013909,0.0013387,0.0014372,0.0071633,0.0081686,0.0014557,0.0016472,0.0012401,0.0013641,0.0086441,0.00882,0.0011765,0.0012415,0.0007585,0.00078698,0.010427,0.010431,0.0035008,0.0035609,0.0058613,0.0064488,0.0028277,0.0024422,0.0071946,0.0072417,0.0050336,0.005006,0.0052687,0.0050972,0.0024387,0.0026883,0.00089437,0.00095999,0.41563,0.20864,0.21052,0.26888
F-Volume-age:series:17.5,0.00058201,0.0011655,0.00028363,0.00031551,0.00053759,0.0005414,0.010422,0.0020607,0.0019824,0.033032,0.032965,0.0081207,0.0082842,0.13555,0.13364,0.00067851,0.0020477,0.0019345,0.00035138,0.00030761,0.0043099,0.0051321,0.00068047,0.0006874,0.0030918,0.0031967,0.0048008,0.0049703,0.0026253,0.0027296,0.002942,0.0013916,0.0016548,0.00026962,0.00027243,0.0026756,0.0030878,0.0024685,0.002572,0.0012209,0.0010318,0.0072527,0.0066882,0.002043,0.0020239,0.0024419,0.002424,0.0030663,0.00296,0.0010384,0.0010228,0.0012033,0.0012157,0.0025562,0.0023426,0.0048413,0.0047411,0.0014431,0.0014732,0.0044319,0.0043246,0.0078467,0.0076523,0.0050624,0.0047641,0.001545,0.0016671,0.0031094,0.0031451,0.0011582,0.001166,0.013433,0.013601,0.0035554,0.0043059,0.0027539,0.0028783,0.00065297,0.00069231,0.0015994,0.0016374,0.0053927,0.0046988,0.01019,0.010032,0.0018806,0.0022159,0.0026616,0.0026938,0.0022959,0.0022585,0.00097127,0.00095993,0.0026072,0.0028439,0.0072118,0.0071995,0.0017759,0.0019266,0.0013917,0.0013909,0.0013387,0.0014372,0.0071474,0.0081436,0.0014557,0.0016471,0.0012401,0.0013641,0.0086213,0.008799,0.0011765,0.0012415,0.0007585,0.00078698,0.010396,0.010399,0.0034988,0.0035586,0.0058433,0.0064311,0.0028266,0.002441,0.0071755,0.0072286,0.0050283,0.0050008,0.0052639,0.0050931,0.0024373,0.0026861,0.00089437,0.00095999,0.41303,0.20784,0.20975,0.26924
