fragment_description,3rd Ventricle,4th Ventricle,Right Accumbens Area,Left Accumbens Area,Right Amygdala,Left Amygdala,Brain Stem,Right Caudate,Left Caudate,Right Cerebellum Exterior,Left Cerebellum Exterior,Right Cerebellum White Matter,Left Cerebellum White Matter,Right Cerebral White Matter,Left Cerebral White Matter,CSF,Right Hippocampus,Left Hippocampus,Right Inf Lat Vent,Left Inf Lat Vent,Right Lateral Ventricle,Left Lateral Ventricle,Right Pallidum,Left Pallidum,Right Putamen,Left Putamen,Right Thalamus Proper,Left Thalamus Proper,Right Ventral DC,Left Ventral DC,Cerebellar Vermal Lobules I-V,Cerebellar Vermal Lobules VI-VII,Total Cerebral White Matter,Cerebellar Vermal Lobules VIII-X,Left Basal Forebrain,Right Basal Forebrain,Right ACgG anterior cingulate gyrus,Left ACgG anterior cingulate gyrus,Right AIns anterior insula,Left AIns anterior insula,Right AOrG anterior orbital gyrus,Left AOrG anterior orbital gyrus,Right AnG angular gyrus,Left AnG angular gyrus,Right Calc calcarine cortex,Left Calc calcarine cortex,Right CO central operculum,Left CO central operculum,Right Cun cuneus,Left Cun cuneus,Right Ent entorhinal area,Left Ent entorhinal area,Right FO frontal operculum,Left FO frontal operculum,Right FRP frontal pole,Left FRP frontal pole,Right FuG fusiform gyrus,Left FuG fusiform gyrus,Right GRe gyrus rectus,Left GRe gyrus rectus,Right IOG inferior occipital gyrus,Left IOG inferior occipital gyrus,Right ITG inferior temporal gyrus,Left ITG inferior temporal gyrus,Right LiG lingual gyrus,Left LiG lingual gyrus,Right LOrG lateral orbital gyrus,Left LOrG lateral orbital gyrus,Right MCgG middle cingulate gyrus,Left MCgG middle cingulate gyrus,Right MFC medial frontal cortex,Left MFC medial frontal cortex,Right MFG middle frontal gyrus,Left MFG middle frontal gyrus,Right MOG middle occipital gyrus,Left MOG middle occipital gyrus,Left MOrG medial orbital gyrus,Right MOrG medial orbital gyrus,Right MPoG postcentral gyrus medial segment,Left MPoG postcentral gyrus medial segment,Right MPrG precentral gyrus medial segment,Left MPrG precentral gyrus medial segment,Right MSFG superior frontal gyrus medial segment,Left MSFG superior frontal gyrus medial segment,Right MTG middle temporal gyrus,Left MTG middle temporal gyrus,Right OCP occipital pole,Left OCP occipital pole,Right OFuG occipital fusiform gyrus,Left OFuG occipital fusiform gyrus,Right OpIFG opercular part of the inferior frontal gyrus,Left OpIFG opercular part of the inferior frontal gyrus,Right OrIFG orbital part of the inferior frontal gyrus,Left OrIFG orbital part of the inferior frontal gyrus,Right PCgG posterior cingulate gyrus,Left PCgG posterior cingulate gyrus,Right PCu precuneus,Left PCu precuneus,Right PHG parahippocampal gyrus,Left PHG parahippocampal gyrus,Right PIns posterior insula,Left PIns posterior insula,Right PO parietal operculum,Left PO parietal operculum,Right PoG postcentral gyrus,Left PoG postcentral gyrus,Right POrG posterior orbital gyrus,Left POrG posterior orbital gyrus,Right PP planum polare,Left PP planum polare,Right PrG precentral gyrus,Left PrG precentral gyrus,Right PT planum temporale,Left PT planum temporale,Right SCA subcallosal area,Left SCA subcallosal area,Right SFG superior frontal gyrus,Left SFG superior frontal gyrus,Right SMC supplementary motor cortex,Left SMC supplementary motor cortex,Right SMG supramarginal gyrus,Left SMG supramarginal gyrus,Right SOG superior occipital gyrus,Left SOG superior occipital gyrus,Right SPL superior parietal lobule,Left SPL superior parietal lobule,Right STG superior temporal gyrus,Left STG superior temporal gyrus,Right TMP temporal pole,Left TMP temporal pole,Right TrIFG triangular part of the inferior frontal gyrus,Left TrIFG triangular part of the inferior frontal gyrus,Right TTG transverse temporal gyrus,Left TTG transverse temporal gyrus,Total Cerebral Grey Matter,Right Cerebral Grey Matter,Left Cerebral Grey Matter
F-volume-age:series:45,0.0006035802,0.0009017834,0.0002873715,0.0003354698,0.0005607491,0.0006014414,0.0105909887,0.0022563402,0.0022121937,0.0346502836,0.0346067691,0.0092738383,0.0093623525,0.1434737874,0.1413962758,0.0006258161,0.0021944971,0.0020916852,0.0002644994,0.0003299715,0.0035812573,0.0040757407,0.0006938481,0.0007138846,0.0033150343,0.0034263594,0.0047891758,0.0048576459,0.0026972652,0.0028302101,0.0031580694,0.001572063,0.2848700632,0.0019400127,0.0002898889,0.0002939678,0.0026879352,0.0031509356,0.0027135893,0.002799403,0.0012044638,0.0010759181,0.0065465868,0.0062928462,0.0024167694,0.0023814664,0.0024157586,0.0024883979,0.0031309761,0.0030614913,0.0011292748,0.0011492582,0.0013792819,0.001268311,0.0027067675,0.0025093001,0.0048825856,0.0045830716,0.0015722883,0.0015416211,0.0045218225,0.0044067214,0.0077542205,0.0073886637,0.0052898217,0.0049786778,0.0015748818,0.0016261979,0.0031502924,0.0034374992,0.0012886917,0.001292986,0.0128844716,0.0130755784,0.0032024332,0.0041439805,0.0028112263,0.002694763,0.0007464531,0.0007719643,0.0017151931,0.0019070527,0.0053025797,0.004631139,0.0098674799,0.0092539995,0.0021096675,0.0024056048,0.0027460761,0.0029498439,0.0024572468,0.0023909403,0.0010708138,0.0009466828,0.0028530265,0.0029742973,0.0068457175,0.0068662013,0.0018912603,0.0020110916,0.0014896907,0.001471962,0.0012528717,0.0012352355,0.0068402881,0.0074757663,0.0015314738,0.0016637136,0.00124873,0.0014138254,0.0082746785,0.0091446179,0.001160533,0.0011850662,0.0007222929,0.0007678321,0.0100980169,0.0099859727,0.0032756754,0.0036105101,0.005516332,0.006092011,0.0028007169,0.0025450081,0.0068974836,0.0065960387,0.0049563668,0.0051004085,0.0054681048,0.0054358032,0.0025748032,0.0025571177,0.0008324959,0.0008741357,0.3918681663,0.1947779146,0.1970902517
F-volume-age:range:min:45,0.0006035802,0.0009017834,0.0002873715,0.0003354698,0.0005607491,0.0006014414,0.0105909887,0.0022563402,0.0022121937,0.0346502836,0.0346067691,0.0092738383,0.0093623525,0.1434737874,0.1413962758,0.0006258161,0.0021944971,0.0020916852,0.0002644994,0.0003299715,0.0035812573,0.0040757407,0.0006938481,0.0007138846,0.0033150343,0.0034263594,0.0047891758,0.0048576459,0.0026972652,0.0028302101,0.0031580694,0.001572063,0.2848700632,0.0019400127,0.0002898889,0.0002939678,0.0026879352,0.0031509356,0.0027135893,0.002799403,0.0012044638,0.0010759181,0.0065465868,0.0062928462,0.0024167694,0.0023814664,0.0024157586,0.0024883979,0.0031309761,0.0030614913,0.0011292748,0.0011492582,0.0013792819,0.001268311,0.0027067675,0.0025093001,0.0048825856,0.0045830716,0.0015722883,0.0015416211,0.0045218225,0.0044067214,0.0077542205,0.0073886637,0.0052898217,0.0049786778,0.0015748818,0.0016261979,0.0031502924,0.0034374992,0.0012886917,0.001292986,0.0128844716,0.0130755784,0.0032024332,0.0041439805,0.0028112263,0.002694763,0.0007464531,0.0007719643,0.0017151931,0.0019070527,0.0053025797,0.004631139,0.0098674799,0.0092539995,0.0021096675,0.0024056048,0.0027460761,0.0029498439,0.0024572468,0.0023909403,0.0010708138,0.0009466828,0.0028530265,0.0029742973,0.0068457175,0.0068662013,0.0018912603,0.0020110916,0.0014896907,0.001471962,0.0012528717,0.0012352355,0.0068402881,0.0074757663,0.0015314738,0.0016637136,0.00124873,0.0014138254,0.0082746785,0.0091446179,0.001160533,0.0011850662,0.0007222929,0.0007678321,0.0100980169,0.0099859727,0.0032756754,0.0036105101,0.005516332,0.006092011,0.0028007169,0.0025450081,0.0068974836,0.0065960387,0.0049563668,0.0051004085,0.0054681048,0.0054358032,0.0025748032,0.0025571177,0.0008324959,0.0008741357,0.3918681663,0.1947779146,0.1970902517
F-volume-age:range:max:45,0.0006035802,0.0009017834,0.0002873715,0.0003354698,0.0005607491,0.0006014414,0.0105909887,0.0022563402,0.0022121937,0.0346502836,0.0346067691,0.0092738383,0.0093623525,0.1434737874,0.1413962758,0.0006258161,0.0021944971,0.0020916852,0.0002644994,0.0003299715,0.0035812573,0.0040757407,0.0006938481,0.0007138846,0.0033150343,0.0034263594,0.0047891758,0.0048576459,0.0026972652,0.0028302101,0.0031580694,0.001572063,0.2848700632,0.0019400127,0.0002898889,0.0002939678,0.0026879352,0.0031509356,0.0027135893,0.002799403,0.0012044638,0.0010759181,0.0065465868,0.0062928462,0.0024167694,0.0023814664,0.0024157586,0.0024883979,0.0031309761,0.0030614913,0.0011292748,0.0011492582,0.0013792819,0.001268311,0.0027067675,0.0025093001,0.0048825856,0.0045830716,0.0015722883,0.0015416211,0.0045218225,0.0044067214,0.0077542205,0.0073886637,0.0052898217,0.0049786778,0.0015748818,0.0016261979,0.0031502924,0.0034374992,0.0012886917,0.001292986,0.0128844716,0.0130755784,0.0032024332,0.0041439805,0.0028112263,0.002694763,0.0007464531,0.0007719643,0.0017151931,0.0019070527,0.0053025797,0.004631139,0.0098674799,0.0092539995,0.0021096675,0.0024056048,0.0027460761,0.0029498439,0.0024572468,0.0023909403,0.0010708138,0.0009466828,0.0028530265,0.0029742973,0.0068457175,0.0068662013,0.0018912603,0.0020110916,0.0014896907,0.001471962,0.0012528717,0.0012352355,0.0068402881,0.0074757663,0.0015314738,0.0016637136,0.00124873,0.0014138254,0.0082746785,0.0091446179,0.001160533,0.0011850662,0.0007222929,0.0007678321,0.0100980169,0.0099859727,0.0032756754,0.0036105101,0.005516332,0.006092011,0.0028007169,0.0025450081,0.0068974836,0.0065960387,0.0049563668,0.0051004085,0.0054681048,0.0054358032,0.0025748032,0.0025571177,0.0008324959,0.0008741357,0.3918681663,0.1947779146,0.1970902517
F-volume-age:series:46,0.0006745232,0.0011315775,0.000289509,0.0003249957,0.0005359613,0.0005461801,0.0116074784,0.0020748721,0.0019372354,0.0301224698,0.02967536,0.0088103316,0.0089533778,0.1395621853,0.137181814,0.0007021388,0.0020333631,0.0019382812,0.0002690057,0.000258186,0.0065553066,0.0068300141,0.0007261742,0.0007354947,0.0029923054,0.0030584337,0.0047478992,0.0049303913,0.0027831025,0.0028791254,0.0029546565,0.0014247168,0.2767439992,0.0018162733,0.0002738457,0.0002772713,0.0023894627,0.002901461,0.002404684,0.002576129,0.0011679219,0.0010690496,0.0062390362,0.0055442938,0.0019373035,0.002002633,0.0024369925,0.0025150444,0.0028559689,0.0029205542,0.001042002,0.001037465,0.0011849474,0.0012054041,0.0024146895,0.0021676927,0.0046505126,0.0047260868,0.0013724931,0.0014454912,0.0042695204,0.0040239612,0.0071153178,0.00736187,0.0048882003,0.0047739742,0.0014742542,0.0015561328,0.0029029386,0.0028517509,0.0011527003,0.0011599231,0.0115967505,0.011493691,0.003389941,0.0039945148,0.0027991433,0.002543799,0.0007252429,0.0006571376,0.0016698095,0.0014943653,0.0049647452,0.0042330068,0.0087532454,0.008914749,0.0018745008,0.0021487369,0.0026294826,0.0027377552,0.0022323312,0.0022564391,0.0009848441,0.0009440809,0.0024559661,0.0026474789,0.0063189388,0.0064521711,0.0018034427,0.0020140496,0.0013782741,0.0013849096,0.0013397605,0.0014313401,0.0066340884,0.0071934844,0.001442827,0.0016247575,0.0012806615,0.0013581825,0.008094424,0.0078305152,0.0011889695,0.0012437672,0.0007321102,0.0007745083,0.0088625233,0.0091256416,0.0034095798,0.0031441715,0.0050782904,0.005642964,0.0027136118,0.0023563057,0.0067011051,0.0066824188,0.0048561277,0.0047052765,0.0047425426,0.0047189542,0.0022595071,0.0023859343,0.000947442,0.0009893628,0.3658070024,0.1819608628,0.1838461396
F-volume-age:range:min:46,0.0004970021,0.0009689052,0.0002731494,0.0002934914,0.000520867,0.000526001,0.0106943952,0.001933741,0.0018689584,0.0274135669,0.0270372682,0.0076332371,0.0077669212,0.1277024636,0.1250817819,0.000517043,0.0019440157,0.0019033994,0.00023603,0.0002276152,0.0038511538,0.0043593298,0.0005342323,0.0005642835,0.0028545768,0.0029275603,0.0044234486,0.0045897947,0.0025089657,0.0026278281,0.0027870142,0.0013815114,0.2527842455,0.0016205799,0.000257869,0.0002678136,0.0021700346,0.00275822,0.0021655205,0.0022153217,0.0011351077,0.0010266109,0.0059569107,0.0051500311,0.001884287,0.0019041247,0.0022570434,0.0023318267,0.0027345416,0.0027222194,0.0009825002,0.0010072197,0.001017329,0.0010330314,0.0022477898,0.002108742,0.0044876033,0.004520894,0.0012532903,0.0013568243,0.003979825,0.0038462123,0.0066371375,0.007035113,0.0045641909,0.0046618698,0.0014342108,0.001492145,0.0026788667,0.002814323,0.0010551248,0.0010556092,0.0109679768,0.0108813198,0.0031570046,0.0039280226,0.0027136916,0.0024865844,0.0006498239,0.0005597629,0.0014611757,0.0014383563,0.0046858705,0.0040283512,0.0081704453,0.0086072542,0.0018519047,0.0020257849,0.0025063713,0.0025238478,0.0020583692,0.0021470948,0.0008809899,0.0007873188,0.0021765831,0.0023584635,0.0054214989,0.0057631281,0.0017544346,0.0019470984,0.0012394311,0.0012608163,0.0011012421,0.0012594802,0.0060766491,0.0068225581,0.0013230873,0.0015072163,0.0011950188,0.0012528649,0.0076781868,0.0072775061,0.0010139176,0.0011096014,0.0006733608,0.0007031421,0.0079602652,0.0087397332,0.0032135499,0.0031160909,0.0044211137,0.0052539388,0.0026192713,0.0021725016,0.0066111842,0.0062229066,0.0044577474,0.0043071372,0.0043786138,0.0046601022,0.0021003149,0.0022298252,0.0007999499,0.0008228662,0.3482570637,0.172439488,0.1758175757
F-volume-age:range:max:46,0.000944737,0.0012600012,0.0003057235,0.0003485939,0.0005440908,0.0005644361,0.0121894552,0.0021667256,0.0019992245,0.0325988223,0.0318948815,0.009891213,0.0102072549,0.1488954271,0.1456353009,0.001056064,0.0020834851,0.0019750029,0.0003087785,0.0002977374,0.0110213554,0.0106274454,0.0008337238,0.0008251628,0.0031931686,0.0033096368,0.0050704815,0.0052992436,0.0030129683,0.0030819368,0.0030871868,0.0014556485,0.294530728,0.0020373396,0.0002999417,0.0002956646,0.0025654685,0.0030007839,0.0025610588,0.0029124451,0.0012147161,0.0011058233,0.0064426831,0.0058605298,0.0020118672,0.0021372402,0.0025527241,0.002636362,0.0030973053,0.0030901582,0.0010787624,0.0010855265,0.0013153714,0.0013139393,0.0025168906,0.0022552494,0.0048440224,0.0049123821,0.0015260075,0.0016201554,0.004446721,0.0041922953,0.0076009152,0.0076893046,0.0050952221,0.0049335871,0.0015049285,0.0016539033,0.003146767,0.0029067229,0.0012150377,0.0012582365,0.0124414423,0.0127094404,0.0037506932,0.0040459296,0.002881267,0.0025736618,0.0007748481,0.0007648307,0.0019450381,0.001595329,0.0052625355,0.0043758533,0.0094517425,0.0094240715,0.0019069449,0.0022535274,0.002765334,0.0028673976,0.0024144911,0.002365883,0.0010696524,0.0011102639,0.0026830005,0.0028906898,0.0068151269,0.0069481347,0.0018459108,0.0020762192,0.0015242619,0.0015436261,0.0014799217,0.0015689634,0.0070499906,0.0074803345,0.0016084444,0.0017793706,0.0013837483,0.0014941464,0.0087763468,0.0084186151,0.0013319232,0.0013490497,0.0007727576,0.0008380442,0.0098523225,0.0095835368,0.0037933812,0.0031926144,0.0054703957,0.0059862253,0.0028183885,0.0024520731,0.006798064,0.0069827707,0.0052682825,0.0050219592,0.0049541014,0.0048201202,0.00248935,0.002691997,0.0010341413,0.0010734288,0.381864384,0.1907943051,0.1910700789
F-volume-age:series:47,0.0006135654,0.0011394239,0.0002823394,0.0003155055,0.0005416187,0.000539566,0.0108103859,0.0021357068,0.0020827381,0.0292183107,0.0293268919,0.0083546235,0.0084622498,0.1366833653,0.134350722,0.0006928186,0.002049848,0.0019365281,0.0003144449,0.0002560355,0.0061624072,0.0066667952,0.0007288037,0.000725108,0.0030094591,0.0031054053,0.0047214828,0.0048910304,0.0026884295,0.0027975563,0.0029433392,0.0013803407,0.2710340873,0.0016983699,0.0002609232,0.000263841,0.0024654998,0.0028241673,0.0023518265,0.0024826515,0.001092842,0.0009762006,0.0064681819,0.005747473,0.001977564,0.0019869462,0.0022814366,0.0023141429,0.0028942598,0.0028337518,0.0010228008,0.0010012292,0.0011642578,0.0011674477,0.0023966518,0.0021780694,0.004545329,0.0044230541,0.0013605286,0.0013843764,0.0041500626,0.0039917513,0.0072410976,0.0068243813,0.004880624,0.0046105456,0.0013663757,0.0014781785,0.0028901309,0.0029181466,0.0011655496,0.0011710565,0.0115750031,0.0116828862,0.0031829313,0.0038389956,0.0025542624,0.002389562,0.0006772233,0.0006939499,0.0015739047,0.0016170341,0.0048544091,0.0042279126,0.0089036646,0.0085169398,0.0018418643,0.0022135167,0.0026113679,0.0026298667,0.0021101441,0.0020199916,0.0009544828,0.0009224719,0.0024668187,0.0026690482,0.0065808896,0.0065496406,0.0017408358,0.0018950565,0.001310871,0.0013270648,0.0012924261,0.0014145091,0.0065381205,0.0075823028,0.0013934457,0.0015336898,0.0011673811,0.0012947528,0.0076926319,0.0077696204,0.0011364274,0.0012222909,0.0007319301,0.0007467856,0.0091229384,0.0090633858,0.003237209,0.003294989,0.0050592837,0.0058492461,0.002625868,0.0023220771,0.0067196743,0.0069029905,0.0044305992,0.004443506,0.0047905374,0.0045639315,0.0022426533,0.0023180612,0.0008582852,0.0009241538,0.3615227919,0.1799470138,0.1815757782
F-volume-age:range:min:47,0.0004250273,0.0010684607,0.0002321256,0.0002618178,0.0004928579,0.0004679645,0.0091550214,0.0017563203,0.0017359115,0.027588793,0.0278694502,0.0077882498,0.0078820646,0.1279671535,0.1248312561,0.0005727672,0.0018290821,0.0016760664,0.0002506657,0.0001726849,0.0036385528,0.0047262157,0.0006578562,0.0006423745,0.0027240385,0.002761329,0.0041729112,0.0043625503,0.0023986189,0.0024966323,0.0027021868,0.0012445796,0.2527984096,0.0016084758,0.0002384713,0.0002473208,0.0021876447,0.0026543289,0.0021411454,0.0022604787,0.0010414904,0.0008481329,0.0056636052,0.0050610963,0.0016569225,0.0017008082,0.0019682369,0.0021526914,0.0025309937,0.0026045006,0.0009358382,0.0009042712,0.0010555327,0.0010569626,0.0022429871,0.0019620096,0.0042757527,0.0041698817,0.0012195613,0.0011841469,0.0035002316,0.0034992671,0.0064611548,0.0062233597,0.0043967508,0.0040104477,0.0012886646,0.001333111,0.0026558676,0.0025628238,0.0010953204,0.0011071665,0.0106232671,0.0106512045,0.0027675262,0.0033137848,0.0021792066,0.0022162397,0.0006142763,0.0006037576,0.001353849,0.0014841697,0.0045796172,0.0039538747,0.0079883812,0.0074765455,0.0015563103,0.0019054026,0.0022951181,0.0022433109,0.0017224428,0.0018520537,0.0008815433,0.000839902,0.0023154342,0.0024396615,0.0059791284,0.0060850517,0.0015661911,0.0016695479,0.0011861904,0.0012549483,0.0010519758,0.0012482799,0.0059795602,0.0064604704,0.0012847856,0.0013384468,0.0011107889,0.0011736205,0.0068160456,0.0064235631,0.0010101735,0.0010612891,0.0006797545,0.0007063719,0.0083569341,0.0084240464,0.0029908653,0.0031340132,0.0044818559,0.005107167,0.002105323,0.0019679942,0.0060193804,0.006169847,0.0040601096,0.0039299655,0.0044061534,0.0040286511,0.002066435,0.0021454102,0.000754616,0.0007913397,0.3397568973,0.1706063266,0.1691505707
F-volume-age:range:max:47,0.0009094262,0.0013934097,0.000328065,0.0003767004,0.0006047169,0.0006102056,0.012369854,0.0024489852,0.0024418403,0.0308439511,0.0310812518,0.0093382548,0.0094689465,0.147845534,0.1452900573,0.001191666,0.002329843,0.0021904609,0.0004549867,0.0003072655,0.0109531063,0.0103978275,0.000832813,0.0008164925,0.0033285289,0.0034183964,0.0052472069,0.0054036801,0.0029535435,0.0030707411,0.0032747081,0.0014957247,0.2931355913,0.0018320831,0.0002904422,0.0002885973,0.0026392603,0.0029857084,0.00255604,0.002655919,0.0011311101,0.0010911781,0.0071891762,0.0062858458,0.0024234751,0.0023193664,0.0025755027,0.0024440694,0.0033233036,0.0032159254,0.001094204,0.0011120827,0.0012989487,0.0012854555,0.0025778729,0.0023492718,0.0047653477,0.0046953912,0.0014677626,0.0015151044,0.0048992176,0.0043855947,0.0079874456,0.0072982789,0.0052898188,0.0051084831,0.0014733519,0.0016547173,0.0030969005,0.0031507932,0.001259561,0.0012466127,0.0131312184,0.013572615,0.0038408749,0.0042675594,0.0028421199,0.0025650208,0.0007953618,0.000792416,0.0018926446,0.001712242,0.0054533522,0.0044536111,0.0096189908,0.0091302957,0.0021962166,0.0024228056,0.0029547047,0.0029027382,0.002476584,0.0021063447,0.0010823296,0.0010277012,0.0026883179,0.0029222945,0.0072525262,0.0072424503,0.0019952428,0.0021764316,0.0013970966,0.0013995606,0.0014871293,0.001603021,0.0070393188,0.0084380854,0.0014765705,0.0017464704,0.0012314106,0.0013907155,0.008586716,0.0089256462,0.0012628805,0.0014080057,0.0008013115,0.0008537856,0.0100456308,0.0097290918,0.0037153922,0.0035691226,0.0054477591,0.0067668589,0.0030303898,0.0025600941,0.0075056609,0.007444935,0.0049898192,0.004822372,0.0051222576,0.0051280999,0.0024231705,0.0024784232,0.000948137,0.0011046695,0.3835866981,0.19001443,0.1935722681
F-volume-age:series:48,0.0006684546,0.0011292315,0.0002832877,0.0003135496,0.0005334593,0.0005359793,0.010722096,0.002014207,0.0019611979,0.028537227,0.0286841249,0.008157608,0.0083496125,0.1372223116,0.135822858,0.0007412089,0.0020594914,0.0019478573,0.0003245455,0.0003106306,0.0063489302,0.0076597711,0.0007294096,0.0007233797,0.0029612484,0.0030462916,0.0047193505,0.0049048222,0.002689201,0.0027944771,0.0029428351,0.0013856571,0.2730451696,0.001628505,0.0002680117,0.000270093,0.0025069001,0.0028789323,0.002437809,0.0025293204,0.0011481575,0.0009984895,0.0064596661,0.0059303741,0.0020630341,0.0020297765,0.0023113974,0.0023925153,0.0029586952,0.0028113041,0.0010162131,0.0010069083,0.0011769137,0.0012003044,0.0023655879,0.0021916524,0.0045781616,0.0044665582,0.0013725516,0.0014010885,0.0041013927,0.004080482,0.0072112091,0.0069286959,0.0048740484,0.0045949732,0.0014067036,0.0015193877,0.0028989964,0.0030101526,0.0011510432,0.0011708591,0.0115664802,0.011835396,0.003273117,0.0039767353,0.0025966661,0.0024932687,0.0006561901,0.0006918512,0.0015502127,0.0016164912,0.0047594542,0.0042758413,0.0089290508,0.0087139581,0.0018227352,0.0022241139,0.0025729341,0.0026167152,0.0021550998,0.0021283142,0.0009384348,0.0009290418,0.002538269,0.0027471964,0.0065836101,0.0065726404,0.0017601361,0.0019210662,0.001357464,0.0013458852,0.0013151928,0.0014220892,0.0065669833,0.0074737508,0.0014180307,0.0015483712,0.0012081295,0.0013149703,0.0079461187,0.0080589793,0.0011547825,0.0012305166,0.0007463255,0.0007788759,0.0091449841,0.0090197522,0.0031885403,0.003327134,0.0051369051,0.0057570927,0.0026794022,0.0023255311,0.0064919165,0.0065321215,0.0046013331,0.0045987746,0.0048182556,0.0046449051,0.0022258706,0.0024341494,0.0008907084,0.0009405599,0.3640249915,0.180786083,0.1832389085
F-volume-age:range:min:48,0.0004421236,0.0008877473,0.0002340085,0.000241457,0.0004650411,0.0004709495,0.0090913886,0.0013432155,0.0016767313,0.0253333549,0.0252842507,0.0066102851,0.0072438725,0.116725019,0.1169272572,0.0004996342,0.0016095068,0.0015738039,0.0002283856,0.0001507995,0.0035216093,0.0037406208,0.0005625495,0.0005687757,0.0024717378,0.002491217,0.0041316692,0.0042961172,0.0022916287,0.0024025056,0.0024487709,0.0011191701,0.2336522763,0.0014225733,0.0002346513,0.0002317999,0.0015199899,0.0024815041,0.0021306044,0.0021230016,0.0010117432,0.000880143,0.0055978741,0.0048893568,0.001630314,0.0014385698,0.0019323499,0.0020347528,0.0025602449,0.0024038263,0.000909367,0.0008573461,0.0010090759,0.000972873,0.0021217934,0.0018683288,0.0039628936,0.0038533938,0.0012123898,0.0012304677,0.0034768592,0.0032881723,0.0062950344,0.006122135,0.0044407652,0.0040310912,0.0012219768,0.0013213012,0.001683756,0.002541222,0.0008939118,0.0009780917,0.0103562551,0.0103048455,0.0027793013,0.0031067737,0.0022593766,0.0020953519,0.0005242663,0.0005283154,0.0009329739,0.0013124244,0.0035633219,0.0036611501,0.007279997,0.0073486374,0.0014723933,0.0016410656,0.0022475392,0.0022158778,0.0018455104,0.0018699928,0.0007926456,0.0008009987,0.0021695487,0.0023140988,0.005610837,0.005622919,0.0015659808,0.0017049203,0.001121224,0.0010987802,0.0010366244,0.001199484,0.0057766867,0.00663721,0.0011507307,0.0013666183,0.0009525404,0.0011194446,0.0069230932,0.0071218552,0.0008974526,0.0009621292,0.0006444808,0.0006683367,0.0078249553,0.0079161043,0.0019699416,0.0027714411,0.0043822109,0.0049203405,0.0022676171,0.0020378551,0.0057721473,0.0058443888,0.003730492,0.0038912789,0.0040979939,0.0038144567,0.0018520671,0.0020319256,0.0007255555,0.0007419848,0.3315103023,0.1660886425,0.1654216599
F-volume-age:range:max:48,0.0014662832,0.0015799568,0.0003329793,0.0003659351,0.000614041,0.0006451243,0.012189495,0.002403691,0.0021917925,0.0317076129,0.0313917418,0.0094930848,0.0096311631,0.1479566527,0.146521374,0.0015365209,0.0024228734,0.0022576677,0.0005787879,0.0009577603,0.0178272117,0.0313530639,0.0009084604,0.0008771459,0.0033599687,0.0035252381,0.0052484842,0.0054538706,0.0030431667,0.0031851459,0.003521669,0.0016340407,0.2931267403,0.0018130877,0.0003089156,0.0003136423,0.0029803757,0.0033214502,0.0027529066,0.0029033903,0.0012822308,0.0011783794,0.0076506077,0.0074780037,0.0028592778,0.0025607998,0.0027889677,0.0028223589,0.0034084669,0.0033589682,0.0011831381,0.0012263536,0.0013505539,0.00146285,0.0027257485,0.0024238341,0.0054356621,0.0050431032,0.0016009092,0.0015977739,0.0047818216,0.0048785816,0.0085106117,0.0080434254,0.0055510774,0.005331638,0.0015999273,0.001764894,0.0033820075,0.003500464,0.0013297535,0.0013347797,0.0128425279,0.0130277695,0.003760385,0.004763439,0.003053917,0.0029428387,0.0008357122,0.0008985528,0.0018382114,0.0018369423,0.0055006433,0.0050422853,0.0109537529,0.0099084704,0.0021844177,0.0028357539,0.0029387322,0.0031061079,0.002405792,0.0024771786,0.0010550124,0.0010859639,0.0028517937,0.003194395,0.0074200104,0.007876146,0.0020039761,0.0021507738,0.0015990254,0.0016086351,0.0015507279,0.0017904091,0.0078107563,0.0085370395,0.0016484253,0.0018470895,0.0014456351,0.0015307825,0.0091063087,0.0091638824,0.001384184,0.0014541625,0.0008970352,0.0009006272,0.0103760873,0.0102958052,0.0036973865,0.0039685983,0.0057958098,0.0070557227,0.0030456357,0.0026530019,0.0075003865,0.0078650965,0.0054277674,0.0051293044,0.0054232695,0.0055367495,0.0025718243,0.0027594289,0.0011025171,0.0012216406,0.3979277514,0.1985945874,0.1993331639
